id,sum,average,min,max
chr3:48288985-48291006(),6055,6.055,0,18
chr3:71942817-71944843(),11091,11.091,4,42
chr22:37624670-37626690(),12594,12.594,2,31
chr16:60708707-60710733(),5323,5.323,2,26
chr14:71416654-71418677(),8010,8.01,3,31
chr14:68959186-68961209(),9184,9.184,3,20
chr11:78347180-78349201(),7677,7.677,3,17
chr10:69346329-69348438(),10458,10.458,0,45
chr17:81916943-81918988(),36167,36.167,5,87
chr6:4133855-4135915(),8950,8.95,2,38
chr4:82043331-82045381(),28000,28.0,0,76
chr4:151408383-151410428(),17206,17.206,1,58
chr11:90971352-90973397(),14975,14.975,1,57
chr6:144148940-144150985(),15503,15.503,2,74
chr4:86891140-86893185(),24652,24.652,3,72
chr11:116416877-116418950(),10742,10.742,2,24
chr5:115600903-115602948(),15122,15.122,3,58
chr1:155910063-155912108(),8784,8.784,2,35
chr10:120978562-120980610(),25776,25.776,2,69
chr5:134070071-134072116(),14587,14.587,0,41
chrX:146619550-146621595(),22074,22.074,3,65
chr16:89278513-89280558(),23252,23.252,3,65
chrX:107774302-107776347(),12922,12.922,3,36
chr2:74119067-74121112(),12348,12.348,2,54
chr14:64971498-64973543(),23228,23.228,6,99
chr5:114054609-114056665(),16601,16.601,3,50
chr15:41114813-41116858(),15945,15.945,0,63
chr6_GL000256v2_alt:3961720-3963744(),17371,17.371,1,53
chr6_GL000253v2_alt:3971530-3973554(),17491,17.491,1,52
chr2:241064321-241066366(),12567,12.567,0,34
chr13:65074683-65076703(),3590,3.59,0,13
chr14:36513188-36515233(),11688,11.688,1,39
chr2:71452449-71454494(),12623,12.623,2,39
chr19:19191074-19193119(),21040,21.04,1,51
chr12:63149824-63151869(),23631,23.631,3,58
chr1:3079579-3081635(),7677,7.677,1,29
chr5:134370622-134372667(),20274,20.274,4,58
chr1:1722945-1724990(),14374,14.374,4,69
chr1:1657601-1659646(),14390,14.39,4,57
chr5:53478622-53480667(),13080,13.08,1,52
chr11:119374553-119376573(),3422,3.422,2,11
chr2:41097906-41099928(),9682,9.682,2,27
chr14:63594045-63596090(),15851,15.851,3,42
chr19:1019478-1021523(),14909,14.909,1,47
chr17:79837182-79839227(),9729,9.729,1,28
chr10:110529145-110531190(),11574,11.574,1,35
chr5:78927145-78929229(),3049,3.049,0,26
chr17:47648259-47650304(),18418,18.418,1,67
chr10:6088522-6090567(),18577,18.577,3,63
chr19:18280024-18282069(),32003,32.003,1,110
chr20:36305995-36308040(),17782,17.782,3,49
chr1:197554878-197556961(),10513,10.513,3,23
chr7:158125349-158127394(),22373,22.373,5,56
chr7:158125219-158127264(),22100,22.1,5,59
chr9:132354362-132356414(),15034,15.034,3,77
chr11:3807014-3809059(),7119,7.119,1,29
chr19:55613236-55615281(),22143,22.143,2,66
chr15:100558281-100560338(),10047,10.047,0,58
chr1:175448208-175450228(),1518,1.518,0,5
chr1:47707872-47709917(),14493,14.493,2,43
chrX:135436046-135438091(),17844,17.844,2,59
chrX:153927005-153929050(),15358,15.358,1,56
chr13:30421678-30423733(),7367,7.367,1,56
chr17:68134271-68136316(),12566,12.566,5,40
chr19:11261262-11263307(),28988,28.988,4,83
chr4:95546732-95548777(),8080,8.08,2,27
chr2:42792328-42794376(),17172,17.172,3,70
chrX:5852598-5854619(),656,0.656,0,5
chr1:160260873-160262918(),9339,9.339,4,42
chr2:196592474-196594519(),30162,30.162,5,96
chr19:7196391-7198436(),11800,11.8,3,35
chr17:47940335-47942380(),11315,11.315,4,41
chr1:201646865-201648911(),10924,10.924,0,37
chr5:68498732-68500835(),12684,12.684,5,25
chr10:2512387-2514412(),949,0.949,0,4
chr19:43407539-43409584(),10825,10.825,2,50
chr14:78191723-78193745(),4986,4.986,0,17
chr16:2026173-2028218(),33520,33.52,6,86
chr7:548189-550247(),10737,10.737,1,40
chr19:35739284-35741329(),14241,14.241,4,57
chr1:1614987-1617032(),33996,33.996,6,90
chr19:12995464-12997509(),21608,21.608,2,81
chr10:362220-364265(),12284,12.284,2,33
chr9:70570455-70572475(),7938,7.938,1,25
chr19:8609753-8611798(),28251,28.251,1,73
chr1:228554283-228556328(),13655,13.655,3,49
chr1:241639327-241641372(),33768,33.768,2,86
chr3:51360205-51362225(),4596,4.596,0,17
chr13:24339365-24341410(),14382,14.382,1,49
chr12:38695261-38697282(),181,0.181,0,13
chr22:27676885-27678930(),9084,9.084,2,28
chr11:120510776-120512821(),33492,33.492,4,96
chr2:96304287-96306332(),11564,11.564,1,46
chr15:80694449-80696494(),29039,29.039,2,105
chrX:72180382-72182427(),14015,14.015,3,31
chr7:27212798-27214843(),13439,13.439,2,49
chr17:8001559-8003607(),9412,9.412,0,43
chr21:38804930-38806975(),24080,24.08,3,71
chr20:49483231-49485276(),31982,31.982,5,78
chrX:41084424-41086471(),33621,33.621,4,88
chr1:228556067-228558113(),15045,15.045,4,56
chr1:228608049-228610095(),15690,15.69,4,77
chr1:228610290-228612336(),16011,16.011,4,48
chr1:228612531-228614577(),16003,16.003,4,52
chr1:228614772-228616818(),15863,15.863,4,49
chr1:228617013-228619059(),15223,15.223,4,47
chr1:228619244-228621290(),15785,15.785,4,53
chr1:228621447-228623493(),14903,14.903,4,50
chr1:228623689-228625735(),15544,15.544,4,48
chr1:228625929-228627975(),15413,15.413,4,54
chr1:228643821-228645867(),15594,15.594,4,52
chr1:228641590-228643636(),15308,15.308,4,47
chr1:228639349-228641395(),15637,15.637,4,52
chr1:228637118-228639164(),15473,15.473,4,59
chr1:228634878-228636924(),15392,15.392,4,44
chr1:228632653-228634699(),14866,14.866,4,48
chr3:10327666-10329716(),10389,10.389,3,35
chr14:21102615-21104663(),11979,11.979,2,44
chr6:110873979-110876029(),13669,13.669,2,58
chr16:30697871-30699916(),24058,24.058,2,75
chr14_KI270847v1_alt:543925-545970(),15103,15.103,2,51
chr14:93429363-93431408(),15296,15.296,2,42
chrX:50704365-50706671(),1689,1.689,0,6
chr18_KI270863v1_alt:146944-148989(),9573,9.573,1,38
chr18:79704311-79706356(),9852,9.852,1,39
chr16:88927050-88929095(),13029,13.029,2,38
chr16:56345869-56347889(),350,0.35,0,9
chr6:138691823-138693868(),29775,29.775,4,93
chr9:137221414-137223459(),22104,22.104,1,97
chrX:151176956-151179001(),15928,15.928,2,61
chr4:10115905-10117950(),33191,33.191,5,105
chr7:98251247-98253292(),30111,30.111,5,77
chr1:109493075-109495120(),21622,21.622,6,43
chr9:113368300-113370321(),6758,6.758,2,18
chr15:34581956-34584016(),15917,15.917,0,65
chr1:57423264-57425309(),33671,33.671,7,78
chrX:118495160-118497205(),31556,31.556,6,76
chr20:63588927-63590977(),11736,11.736,2,41
chr16:88233405-88235453(),8882,8.882,3,29
chr22:21627480-21629525(),13498,13.498,4,42
chr17_KI270857v1_alt:29237-31282(),25501,25.501,6,72
chr17:35794705-35796750(),25443,25.443,6,80
chr16:66603980-66606025(),32334,32.334,7,88
chrY:11214008-11216053(),13477,13.477,5,36
chrUn_GL000218v1:96438-98483(),14655,14.655,5,36
chr21:9128753-9130798(),15549,15.549,5,39
chr14_GL000194v1_random:114056-116101(),15424,15.424,5,41
chr9:19788022-19790067(),29115,29.115,5,74
chr15:32342102-32344147(),18461,18.461,3,46
chr15_KI270905v1_alt:2479485-2481530(),16524,16.524,4,46
chr15:30194539-30196584(),17100,17.1,4,45
chr8:7265741-7267786(),10218,10.218,2,33
chr8:7731954-7733999(),11962,11.962,2,34
chr8:7739601-7741646(),11908,11.908,2,32
chr8:7747249-7749294(),11843,11.843,2,33
chr4:9174372-9176417(),8789,8.789,2,27
chr8:8012091-8014136(),10107,10.107,2,29
chr14:24139758-24141803(),14620,14.62,4,38
chr6:119349031-119351076(),26788,26.788,4,92
chr10:133141133-133143178(),15181,15.181,2,36
chr17:28726232-28728279(),10708,10.708,2,41
chr17:28334025-28336070(),13003,13.003,3,44
chr16:50244760-50246806(),14170,14.17,0,63
chr12:76170586-76172606(),2304,2.304,0,21
chr19:1761336-1763381(),15211,15.211,3,60
chr1:231162881-231164928(),21119,21.119,2,69
chr2:164774025-164776045(),12724,12.724,4,28
chr13:112978543-112980588(),11934,11.934,2,29
chr2:158456184-158458229(),29005,29.005,4,82
chr19:3880585-3882630(),7920,7.92,2,28
chr16:27225096-27227116(),11544,11.544,2,25
chr7:73681727-73683787(),12394,12.394,2,56
chr9:120170001-120172021(),3183,3.183,0,14
chr2:69522164-69524268(),1098,1.098,0,21
chr18:36387465-36389489(),1986,1.986,0,6
chr14:104179162-104181207(),9315,9.315,0,40
chr8:124405780-124407800(),8681,8.681,1,29
chr11:1271325-1273370(),17657,17.657,3,56
chr14:105166444-105168465(),32506,32.506,5,84
chr22:35539598-35541643(),20655,20.655,3,83
chr5:73435162-73437207(),14109,14.109,2,34
chr19:11177391-11179436(),14831,14.831,3,42
chr13:41456515-41458560(),31653,31.653,5,91
chr16:30368693-30370738(),13435,13.435,1,64
chr11:638330-640375(),17326,17.326,2,95
chr5:172295734-172297779(),18722,18.722,5,53
chr5:172295896-172297939(),26098,26.098,5,56
chr5:172295864-172297907(),25608,25.608,5,54
chr5:172295832-172297875(),24590,24.59,5,54
chr5:172295800-172297843(),23745,23.745,5,54
chr5:172295768-172297811(),21281,21.281,5,54
chr7:47580497-47582542(),15575,15.575,3,63
chr9:65281783-65283831(),10354,10.354,3,38
chr9:41125800-41127848(),11284,11.284,3,35
chr9:115601-117649(),10236,10.236,3,42
chr9:68303486-68305534(),10904,10.904,3,37
chr9:65737691-65739739(),10210,10.21,3,42
chr2:113499736-113501784(),9600,9.6,3,43
chr13:106535453-106537503(),17960,17.96,0,63
chr19:55159602-55161647(),9583,9.583,0,50
chr6:7985606-7987651(),12202,12.202,3,40
chr17:18633989-18636034(),26888,26.888,6,69
chr16:89388733-89390778(),12709,12.709,3,39
chr16:89389158-89391202(),16971,16.971,3,45
chr16:89388968-89391012(),17965,17.965,3,45
chr16:89388921-89390965(),17683,17.683,3,47
chr10:38355297-38357342(),21358,21.358,3,48
chr1:162789643-162791688(),21636,21.636,3,49
chr20:62054125-62056171(),9394,9.394,2,25
chr10:87094377-87096422(),25659,25.659,4,84
chr4:186432003-186434049(),10088,10.088,2,36
chr4:186432049-186434095(),11250,11.25,2,30
chr4:186432233-186434279(),11357,11.357,2,33
chr4:186432279-186434325(),11719,11.719,2,34
chr4:186434761-186436807(),11705,11.705,2,36
chr4:186434945-186436991(),12545,12.545,2,32
chr4:186435130-186437221(),9814,9.814,2,31
chr13:112062434-112064479(),11871,11.871,2,60
chr8:101222976-101225021(),13187,13.187,2,40
chr2:91850856-91852876(),19313,19.313,4,52
chr10:93073185-93075230(),19830,19.83,4,65
chr7:77120883-77122928(),22671,22.671,3,46
chr19:49118804-49120849(),19477,19.477,1,69
chr16:9089584-9091629(),31104,31.104,5,70
chr17:77736779-77738800(),11581,11.581,3,49
chr11:64316130-64318175(),13812,13.812,2,50
chr17:44006255-44008300(),11427,11.427,2,39
chr8:70068548-70070593(),11902,11.902,2,46
chr17:78457888-78459933(),13251,13.251,3,46
chr9:124040193-124042238(),20503,20.503,2,58
chr8:23201255-23203290(),3160,3.16,1,8
chr10:69494064-69496084(),12096,12.096,3,40
chr6:43580715-43582760(),32421,32.421,5,78
chr5:178517965-178520010(),31958,31.958,5,83
chr19_KI270867v1_alt:36940-38985(),32561,32.561,6,92
chr19:29900864-29902909(),29787,29.787,6,71
chr14:105111858-105113903(),31049,31.049,6,77
chr10:99839288-99841333(),30394,30.394,6,83
chr1:214869605-214871650(),25547,25.547,6,78
chrX:72679674-72681719(),28445,28.445,6,68
chr9:120493893-120495938(),30665,30.665,6,80
chr9:38240380-38242425(),31960,31.96,6,74
chr8:127314709-127316754(),30655,30.655,6,80
chr6_GL000253v2_alt:4064627-4066672(),31044,31.044,6,77
chr6_GL000252v2_alt:3890229-3892274(),30849,30.849,6,87
chr6:133663119-133665164(),32753,32.753,6,82
chr3:48209683-48211722(),30918,30.918,7,75
chr19:41643015-41645060(),32109,32.109,6,86
chr19:22924336-22926381(),25915,25.915,6,65
chr19:13701589-13703634(),32320,32.32,6,75
chr17:44178831-44180876(),31336,31.336,6,74
chr15:75479620-75481665(),31342,31.342,6,86
chr12:42225988-42228033(),31615,31.615,6,80
chr1:46239290-46241335(),29467,29.467,6,86
chr1:45802855-45804900(),33656,33.656,6,90
chr1:33050129-33052174(),30442,30.442,6,78
chr1:26816259-26818304(),23917,23.917,6,79
chr14:41605597-41607642(),14588,14.588,1,73
chrX:3434923-3436968(),11899,11.899,5,31
chrY:7559344-7561389(),11837,11.837,4,31
chr17:3963574-3965619(),27594,27.594,5,96
chr12:3030733-3032753(),7264,7.264,1,18
chr16:31528411-31530456(),13026,13.026,1,48
chr9:124868329-124870375(),31903,31.903,4,80
chr11_KI270832v1_alt:89151-91196(),18938,18.938,3,67
chr11:559496-561541(),18915,18.915,2,64
chr15:32346274-32348319(),14723,14.723,1,50
chr15_KI270905v1_alt:2475298-2477343(),15908,15.908,2,55
chr15:30190350-30192395(),15846,15.846,2,51
chr19:35152821-35154866(),10153,10.153,1,34
chr1:21257835-21259858(),8663,8.663,1,24
chr2:30229605-30231650(),12039,12.039,1,37
chrX:47178881-47180926(),8332,8.332,1,25
chr1:14711413-14713433(),5576,5.576,0,29
chr8:141252826-141254871(),9453,9.453,0,39
chr16:76063889-76065912(),946,0.946,0,6
chr1:38518735-38520756(),10424,10.424,1,31
chr6:169896505-169898528(),8902,8.902,2,21
chr3:7459654-7461674(),1526,1.526,0,4
chr20:1946036-1948095(),13635,13.635,3,38
chr2:114483902-114485922(),1197,1.197,0,10
chr10:50623111-50625161(),19713,19.713,1,76
chr1:65791733-65793780(),16244,16.244,4,63
chr1:18108572-18110617(),4819,4.819,1,25
chr6:164700797-164702821(),4865,4.865,0,16
chr7:20776782-20778832(),12250,12.25,0,59
chr8_KI270819v1_alt:80836-82881(),8730,8.73,0,41
chr8:141414239-141416284(),9327,9.327,0,40
chr19_KI270932v1_alt:54197-56245(),3485,3.485,0,14
chr19_KI270931v1_alt:53347-55395(),3483,3.483,0,15
chr19_KI270919v1_alt:53865-55913(),3648,3.648,0,15
chr19_KI270916v1_alt:81315-83363(),3390,3.39,0,14
chr19_KI270915v1_alt:53855-55903(),3505,3.505,0,14
chr19_KI270914v1_alt:43758-45806(),3527,3.527,0,14
chr19_KI270891v1_alt:53870-55918(),3535,3.535,0,13
chr19_KI270890v1_alt:81242-83290(),3505,3.505,0,14
chr19_KI270889v1_alt:53855-55903(),3415,3.415,0,15
chr19_KI270888v1_alt:52293-54341(),3647,3.647,0,13
chr19_KI270887v1_alt:93204-95252(),3384,3.384,0,13
chr19_KI270886v1_alt:42992-45040(),3574,3.574,0,14
